id,zh,ro,cat,old_ipa,new_ipa,old_hint,new_hint
464,笔记本,caiet,学习,,cAIEt,,名词 · 复数待核对: caiete
465,日历,calendar,时间,,calendAr,,副词 · 不变
466,质量,calitate,购物,,calitAte,,名词 · 复数: calități
467,活动,campanie,社会,,campAnie,,名词 · 复数待核对: campanii
468,频道,canal,科技,,canAl,,名词 · 复数待核对: canale
469,盖子,capac,家居,,cApac,,名词 · 复数待核对: capace
470,性格,caracter,人际,,carActer,,名词 · 复数待核对: caractere
471,职业,carieră,职场,,carIEră,,名词 · 复数: cariere
472,街区,cartier,城市,,cArtier,,名词 · 复数待核对: cartiere
473,黄瓜,castravete,饮食,,castravEte,,名词 · 复数待核对: castraveti
474,目录,catalog,学习,,catAlog,,名词 · 复数待核对: cataloge
475,犯罪记录,cazier,社会,,cAzier,,名词 · 复数待核对: caziere
476,热,căldură,天气,,căldUră,,名词 · 复数: căldure
477,宿舍,cămin,教育,,cĂmin,,名词 · 复数待核对: cămine
478,秤,cântar,购物,,cântAr,,名词 · 复数待核对: cântare
479,香肠,cârnat,饮食,,cÂrnat,,名词 · 复数待核对: cârnate
480,洋葱,ceapă,饮食,,cEApă,,名词 · 复数: ceape
481,钟表,ceas,时间,,cEAs,,副词 · 不变
482,申请,cerere,职场,,cerEre,,名词 · 复数待核对: cereri
483,证书,certificat,教育,,certifIcat,,名词 · 复数待核对: certificate
484,开销,cheltuială,金融,,cheltUIAlă,,名词 · 复数: cheltuiale
485,房租,chirie,家居,,chIrie,,名词 · 复数待核对: chirii
486,酸汤,ciorbă,饮食,,cIOrbă,,名词 · 复数: ciorbe
487,蘑菇,ciupercă,饮食,,ciupErcă,,名词 · 复数: ciuperce
488,建筑,clădire,城市,,clădIre,,名词 · 复数待核对: clădiri
489,队伍,coadă,购物,,cOAdă,,名词 · 复数: coade
490,皮,coajă,饮食,,cOAjă,,名词 · 复数: coaje
491,甜品店,cofetărie,城市,,cofetĂrie,,名词 · 复数待核对: cofetării
492,学院,colegiu,教育,,colEgiu,,名词 · 复数待核对: colegii
493,圣诞歌,colind,文化,,cOlind,,名词 · 复数待核对: colinde
494,订单,comandă,购物,,comAndă,,名词 · 复数: comande
495,贸易,comerț,商业,,cOmerț,,名词 · 复数待核对: comerțe
496,公司,companie,职场,,compAnie,,名词 · 复数待核对: companii
497,竞赛,competiție,运动,,competIție,,名词 · 复数: competiții
498,行为,comportament,人际,,comportAment,,名词 · 复数: comportamente
499,结论,concluzie,学习,,conclUzie,,名词 · 复数待核对: concluzii
500,管理,conducere,职场,,conducEre,,名词 · 复数待核对: conduceri
501,会议,conferință,职场,,conferInță,,名词 · 复数: conferințe
502,委员会,consiliu,社会,,consIliu,,名词 · 复数待核对: consilii
503,计量表,contor,家居,,cOntor,,名词 · 复数待核对: contoare
504,内容,conținut,科技,,conțInut,,名词 · 复数待核对: conținute
505,封面,copertă,学习,,copErtă,,名词 · 复数: coperte
506,走廊,coridor,城市,,coridOr,,名词 · 复数待核对: coridore
507,西装,costum,购物,,cOstum,,名词 · 复数待核对: costume
508,锅,cratiță,烹饪,,cratIță,,名词 · 复数: cratițe
509,大脑,creier,身体,,crEIEr,,名词 · 复数待核对: creiere
510,增长,creștere,商业,,creștEre,,名词 · 复数待核对: creșteri
511,危机,criză,社会,,crIză,,名词 · 复数: crize
512,衣架,cuier,家居,,cUIEr,,名词 · 复数待核对: cuiere
513,文化,cultură,文化,,cultUră,,名词 · 复数: culture
514,勇气,curaj,情感,,cUraj,,名词 · 复数待核对: curaje
515,电流,curent,科技,,curEnt,,名词 · 复数待核对: curente
516,院子,curte,家居,,cUrte,,名词 · 复数待核对: curti
517,盒子,cutie,购物,,cUtie,,名词 · 复数待核对: cutii
518,债务,datorie,金融,,datOrie,,名词 · 复数待核对: datorii
519,十二月,decembrie,时间,,decEmbrie,,副词 · 不变
520,决定,decizie,职场,,decIzie,,名词 · 复数待核对: decizii
521,声明,declarație,社会,,declarAție,,名词 · 复数: declarații
522,手指,deget,身体,,dEget,,名词 · 复数待核对: degete
523,午餐,dejun,饮食,,dEjun,,名词 · 复数待核对: dejune
524,半地下室,demisol,家居,,demIsol,,名词 · 复数待核对: demisole
525,画,desen,艺术,,dEsen,,名词 · 复数待核对: desene
526,细节,detaliu,学习,,detAliu,,名词 · 复数待核对: detalii
527,劣势,dezavantaj,职场,,dezavAntaj,,名词 · 复数待核对: dezavantaje
528,对话,dialog,学习,,dIAlog,,名词 · 复数待核对: dialoge
529,区别,diferență,学习,,diferEnță,,名词 · 复数: diferențe
530,早晨,dimineață,时间,,diminEAță,,副词 · 不变
531,主任,director,职场,,dirEctor,,名词 · 复数待核对: directoare
532,讨论,discuție,人际,,discUție,,名词 · 复数: discuții
533,距离,distanță,交通,,distAnță,,名词 · 复数: distanțe
534,分配,distribuție,商业,,distribUție,,名词 · 复数: distribuții
535,证据,dovadă,社会,,dovAdă,,名词 · 复数: dovade
536,柜子,dulap,家居,,dUlap,,名词 · 复数待核对: dulape
537,星期日,duminică,时间,,duminIcă,,副词 · 不变
538,平衡,echilibru,健康,,echilIbru,,名词 · 复数待核对: echilibruri
539,经济,economie,金融,,econOmie,,名词 · 复数待核对: economii
540,努力,efort,学习,,Efort,,名词 · 复数待核对: eforte
541,情绪,emoție,情感,,emOție,,名词 · 复数: emoții
542,能量,energie,健康,,enErgie,,名词 · 复数待核对: energii
543,错误,eroare,学习,,erOAre,,名词 · 复数待核对: eroari
544,楼层,etaj,城市,,Etaj,,名词 · 复数待核对: etaje
545,标签,etichetă,购物,,etichEtă,,名词 · 复数: etichete
546,事件,eveniment,社会,,evenIment,,名词 · 复数: evenimente
547,例子,exemplu,学习,,exEmplu,,名词 · 复数待核对: exempluri
548,经验,experiență,职场,,experIEnță,,名词 · 复数: experiențe
549,解释,explicație,学习,,explicAție,,名词 · 复数: explicații
550,家庭,familie,人际,,famIlie,,名词 · 复数待核对: familii
551,二月,februarie,时间,,febrUArie,,副词 · 不变
552,贺卡,felicitare,人际,,felicitAre,,名词 · 复数待核对: felicitari
553,幸福,fericire,情感,,fericIre,,名词 · 复数待核对: fericiri
554,节日,festival,文化,,festivAl,,名词 · 复数待核对: festivale
555,文件,fișier,科技,,fIșier,,名词 · 复数待核对: fișiere
556,火焰,flacără,自然,,flacĂră,,名词 · 复数: flacăre
557,表格,formular,职场,,formulAr,,名词 · 复数待核对: formulare
558,扶手椅,fotoliu,家居,,fotOliu,,名词 · 复数待核对: fotolii
559,寒冷,frig,天气,,frIg,,名词 · 复数待核对: frige
560,烤肉,friptură,饮食,,friptUră,,名词 · 复数: fripture
561,功能,funcție,科技,,fUncție,,名词 · 复数: funcții
562,保修,garanție,购物,,garAnție,,名词 · 复数: garanții
563,桶,găleată,家居,,gălEAtă,,名词 · 复数: găleate
564,想法,gând,情感,,gÂnd,,名词 · 复数待核对: gânde
565,行李箱,geamantan,旅行,,geamAntan,,名词 · 复数待核对: geamantane
566,果酱,gem,饮食,,gEm,,名词 · 复数待核对: geme
567,膝盖,genunchi,身体,,genUnchi,,名词 · 复数待核对: genunchii
568,手势,gest,人际,,gEst,,名词 · 复数待核对: geste
569,冰,gheață,饮食,,ghEAță,,名词 · 复数: gheațe
570,指南,ghid,旅行,,ghId,,名词 · 复数待核对: ghide
571,书包,ghiozdan,学习,,ghIOzdan,,名词 · 复数待核对: ghiozdane
572,玩笑,glumă,人际,,glUmă,,名词 · 复数: glume
573,花园,grădină,自然,,grădInă,,名词 · 复数: grădine
574,重量,greutate,健康,,greutAte,,名词 · 复数: greutăți
575,关心,grijă,情感,,grIjă,,名词 · 复数: grije
576,小组,grup,学习,,grUp,,名词 · 复数待核对: grupe
577,味道,gust,饮食,,gUst,,名词 · 复数待核对: guste
578,外套,haină,购物,,hAInă,,名词 · 复数: haine
579,纸,hârtie,学习,,hÂrtie,,名词 · 复数待核对: hârtii
580,地图,hartă,旅行,,hArtă,,名词 · 复数: harte
581,决心,hotărâre,情感,,hotărÂre,,名词 · 复数待核对: hotărâri
582,想法,idee,学习,,Idee,,名词 · 复数待核对: idei
583,出口,ieșire,城市,,ieșIre,,名词 · 复数待核对: ieșiri
584,图片,imagine,艺术,,imagIne,,名词 · 复数待核对: imagini
585,影响,impact,社会,,Impact,,名词 · 复数待核对: impacte
586,印象,impresie,人际,,imprEsie,,名词 · 复数待核对: impresii
587,火灾,incendiu,城市,,incEndiu,,名词 · 复数待核对: incendii
588,工业,industrie,商业,,indUstrie,,名词 · 复数待核对: industrii
589,信息,informație,学习,,informAție,,名词 · 复数: informații
590,食材,ingredient,烹饪,,ingredIEnt,,名词 · 复数待核对: ingrediente
591,检查员,inspector,职场,,inspEctor,,名词 · 复数待核对: inspectoare
592,说明,instrucțiune,科技,,instrucțIUne,,名词 · 复数: instrucțiuni
593,工具,instrument,职场,,instrUment,,名词 · 复数: instrumente
594,意图,intenție,人际,,intEnție,,名词 · 复数: intenții
595,兴趣,interes,情感,,intEres,,名词 · 复数待核对: interese
596,邀请,invitație,人际,,invitAție,,名词 · 复数: invitații
597,一月,ianuarie,时间,,ianUArie,,副词 · 不变
598,六月,iunie,时间,,IUnie,,副词 · 不变
599,七月,iulie,时间,,IUlie,,副词 · 不变
600,泉水,izvor,自然,,izvOr,,名词 · 复数待核对: izvore
601,夹克,jachetă,购物,,jachEtă,,名词 · 复数: jachete
602,星期四,joi,时间,,jOI,,副词 · 不变
603,玩具,jucărie,购物,,jucĂrie,,名词 · 复数待核对: jucării
604,法官,judecător,社会,,judecĂtor,,名词 · 复数待核对: judecătoare
605,实验室,laborator,教育,,laborAtor,,名词 · 复数待核对: laboratoare
606,链子,lanț,购物,,lAnț,,名词 · 复数待核对: lanțe
607,联系,legătură,人际,,legătUră,,名词 · 复数: legăture
608,木头,lemn,自然,,lEmn,,名词 · 复数待核对: lemne
609,床上用品,lenjerie,家居,,lenjErie,,名词 · 复数待核对: lenjerii
610,自由,libertate,社会,,libertAte,,名词 · 复数: libertăți
611,线,linie,学习,,lInie,,名词 · 复数待核对: linii
612,小勺,linguriță,烹饪,,lingurIță,,名词 · 复数: lingurițe
613,清单,listă,学习,,lIstă,,名词 · 复数: liste
614,住宅,locuință,家居,,locUInță,,名词 · 复数: locuințe
615,工人,lucrător,职场,,lucrĂtor,,名词 · 复数待核对: lucrătoare
616,星期一,luni,时间,,lUni,,副词 · 不变
617,光,lumină,家居,,lumInă,,名词 · 复数: lumine
618,商店,magazin,购物,,magAzin,,名词 · 复数待核对: magazine
619,蛋黄酱,maioneză,饮食,,maionEză,,名词 · 复数: maioneze
620,经理,manager,职场,,manAger,,名词 · 复数待核对: managere
621,三月,martie,时间,,mArtie,,副词 · 不变
622,星期二,marți,时间,,mArți,,副词 · 不变
623,汽车,mașină,交通,,mașInă,,名词 · 复数: mașine
624,措施,măsură,社会,,măsUră,,名词 · 复数: măsure
625,奖牌,medalie,运动,,medAlie,,名词 · 复数待核对: medalii
626,环境,mediu,自然,,mEdiu,,名词 · 复数待核对: medii
627,成员,membru,人际,,mEmbru,,名词 · 复数待核对: membruri
628,菜单,meniu,饮食,,mEniu,,名词 · 复数待核对: menii
629,职业,meserie,职场,,mesErie,,名词 · 复数待核对: meserii
630,方法,metodă,学习,,metOdă,,名词 · 复数: metode
631,星期三,miercuri,时间,,miercUri,,副词 · 不变
632,中间,mijloc,方向,,mIjloc,,副词 · 不变
633,少数群体,minoritate,社会,,minoritAte,,名词 · 复数: minorități
634,分钟,minut,时间,,mInut,,副词 · 不变
635,气味,miros,饮食,,mirOs,,名词 · 复数待核对: mirose
636,模型,model,学习,,mOdel,,名词 · 复数待核对: modele
637,显示器,monitor,科技,,monItor,,名词 · 复数待核对: monitoare
638,胡萝卜,morcov,饮食,,mOrcov,,名词 · 复数待核对: morcove
639,理由,motiv,人际,,motIv,,名词 · 复数待核对: motive
640,肌肉,mușchi,身体,,mUșchi,,名词 · 复数待核对: mușchii
641,出生,naștere,人际,,naștEre,,名词 · 复数待核对: nașteri
642,侄子,nepot,人际,,nEpot,,名词 · 复数待核对: nepote
643,水平,nivel,学习,,nIvel,,名词 · 复数待核对: nivele
644,十一月,noiembrie,时间,,nOIEmbrie,,副词 · 不变
645,云,nor,天气,,nOr,,名词 · 复数待核对: nore
646,分数,notă,教育,,nOtă,,名词 · 复数: note
647,习惯,obicei,日常,,obIcei,,名词 · 复数待核对: obiceii
648,物品,obiect,日常,,Obiect,,名词 · 复数待核对: obiecte
649,疲劳,oboseală,健康,,obosEAlă,,名词 · 复数待核对: oboseli
650,机会,ocazie,人际,,ocAzie,,名词 · 复数待核对: ocazii
651,十月,octombrie,时间,,octOmbrie,,副词 · 不变
652,优惠,ofertă,购物,,ofErtă,,名词 · 复数: oferte
653,镜子,oglindă,家居,,oglIndă,,名词 · 复数: oglinde
654,意见,opinie,人际,,opInie,,名词 · 复数待核对: opinii
655,秩序,ordine,社会,,ordIne,,名词 · 复数待核对: ordini
656,组织,organizație,社会,,organizAție,,名词 · 复数: organizații
657,地平线,orizont,自然,,orIzont,,名词 · 复数待核对: orizonte
658,服务员,ospătar,饮食,,ospătAr,,名词 · 复数待核对: ospătare
659,包裹,pachet,购物,,pAchet,,名词 · 复数待核对: pachete
660,页面,pagină,学习,,pagInă,,名词 · 复数: pagine
661,停车场,parcare,交通,,parcAre,,名词 · 复数待核对: parcari
662,参与者,participant,社会,,participAnt,,名词 · 复数待核对: participați
663,乘客,pasager,交通,,pasAger,,名词 · 复数待核对: pasagere
664,酱,pastă,饮食,,pAstă,,名词 · 复数: paste
665,帽子,pălărie,购物,,pălĂrie,,名词 · 复数待核对: pălării
666,看法,părere,人际,,părEre,,名词 · 复数待核对: păreri
667,毯子,pătură,家居,,pătUră,,名词 · 复数: păture
668,墙,perete,家居,,perEte,,名词 · 复数待核对: pereti
669,危险,pericol,社会,,perIcol,,名词 · 复数待核对: pericole
670,时期,perioadă,时间,,perIOAdă,,副词 · 不变
671,许可证,permis,社会,,pErmis,,名词 · 复数待核对: permise
672,钓鱼,pescuit,运动,,pEscuit,,名词 · 复数待核对: pescuite
673,胸部,piept,身体,,pIEpt,,名词 · 复数待核对: piepte
674,飞行员,pilot,交通,,pIlot,,名词 · 复数待核对: pilote
675,游泳池,piscină,运动,,piscInă,,名词 · 复数: piscine
676,海滩,plajă,旅行,,plAjă,,名词 · 复数: plaje
677,付款,plată,金融,,plAtă,,名词 · 复数: plate
678,散步,plimbare,日常,,plimbAre,,名词 · 复数待核对: plimbari
679,大门,poartă,城市,,pOArtă,,名词 · 复数: poarte
680,政治家,politician,社会,,politIcian,,名词 · 复数待核对: politiciane
681,民族,popor,社会,,popOr,,名词 · 复数待核对: popore
682,玉米,porumb,饮食,,pOrumb,,名词 · 复数待核对: porumbe
683,可能性,posibilitate,学习,,posibilitAte,,名词 · 复数: posibilități
684,手提包,poșetă,购物,,poșEtă,,名词 · 复数: poșete
685,午饭,prânz,饮食,,prÂnz,,名词 · 复数待核对: prânze
686,价格,preț,购物,,prEț,,名词 · 复数待核对: prețe
687,朋友们,prietene,人际,,prietEne,,名词 · 复数待核对: prieteni
688,目光,privire,人际,,privIre,,名词 · 复数待核对: priviri
689,生产,producție,商业,,prodUcție,,名词 · 复数: producții
690,产品,produs,购物,,prOdus,,名词 · 复数待核对: produse
691,职业,profesie,职场,,profEsie,,名词 · 复数待核对: profesii
692,预约,programare,健康,,programAre,,名词 · 复数待核对: programari
693,进步,progres,学习,,prOgres,,名词 · 复数待核对: progrese
694,房东,proprietar,家居,,proprietAr,,名词 · 复数待核对: proprietare
695,繁荣,prosperitate,社会,,prosperitAte,,名词 · 复数: prosperități
696,保护,protecție,社会,,protEcție,,名词 · 复数: protecții
697,广告,publicitate,商业,,publicitAte,,名词 · 复数: publicități
698,点,punct,学习,,pUnct,,名词 · 复数待核对: puncte
699,力量,putere,社会,,putEre,,名词 · 复数待核对: puteri
700,报告,raport,职场,,rAport,,名词 · 复数待核对: raporte
701,耐心,răbdare,情感,,răbdAre,,名词 · 复数待核对: răbdari
702,责任,răspundere,职场,,răspundEre,,名词 · 复数待核对: răspunderi
703,容器,recipient,家居,,recipIEnt,,名词 · 复数待核对: recipiente
704,广告,reclamă,商业,,reclAmă,,名词 · 复数: reclame
705,折扣,reducere,购物,,reducEre,,名词 · 复数待核对: reduceri
706,规则,regulă,学习,,regUlă,,名词 · 复数: regule
707,关系,relație,人际,,relAție,,名词 · 复数: relații
708,修理,reparație,家居,,reparAție,,名词 · 复数: reparații
709,网络,rețea,科技,,rEțea,,名词 · 复数待核对: rețeai
710,结果,rezultat,学习,,rezUltat,,名词 · 复数待核对: rezultate
711,取件,ridicare,购物,,ridicAre,,名词 · 复数待核对: ridicari
712,风险,risc,金融,,rIsc,,名词 · 复数待核对: risce
713,连衣裙,rochie,购物,,rOchie,,名词 · 复数待核对: rochii
714,番茄,roșie,饮食,,rOșie,,名词 · 复数待核对: roșii
715,羞愧,rușine,情感,,rușIne,,名词 · 复数待核对: rușini
716,星期六,sâmbătă,时间,,sâmbĂtă,,副词 · 不变
717,村庄,sat,地理,,sAt,,名词 · 复数待核对: sate
718,目标,scop,学习,,scOp,,名词 · 复数待核对: scope
719,信,scrisoare,人际,,scrisOAre,,名词 · 复数待核对: scrisoari
720,豁免,scutire,社会,,scutIre,,名词 · 复数待核对: scutiri
721,傍晚,seară,时间,,sEAră,,副词 · 不变
722,秘密,secret,人际,,sEcret,,名词 · 复数待核对: secrete
723,九月,septembrie,时间,,septEmbrie,,副词 · 不变
724,服务,serviciu,职场,,servIciu,,名词 · 复数待核对: servicii
725,标志,semn,城市,,sEmn,,名词 · 复数待核对: semne
726,信号,semnal,交通,,semnAl,,名词 · 复数待核对: semnale
727,感受,sentiment,情感,,sentIment,,名词 · 复数: sentimente
728,系列,serie,学习,,sErie,,名词 · 复数待核对: serii
729,抽屉,sertar,家居,,sertAr,,名词 · 复数待核对: sertare
730,建议,sfat,人际,,sfAt,,名词 · 复数待核对: sfate
731,安全,siguranță,社会,,sigurAnță,,名词 · 复数: siguranțe
732,系统,sistem,科技,,sIstem,,名词 · 复数待核对: sisteme
733,情况,situație,日常,,sitUAție,,名词 · 复数: situații
734,社会,societate,社会,,societAte,,名词 · 复数: societăți
735,解决办法,soluție,学习,,solUție,,名词 · 复数: soluții
736,希望,speranță,情感,,sperAnță,,名词 · 复数: speranțe
737,泡沫,spumă,家居,,spUmă,,名词 · 复数: spume
738,状态,stare,健康,,stAre,,名词 · 复数待核对: stari
739,国家,stat,社会,,stAt,,名词 · 复数待核对: state
740,旗帜,steag,社会,,stEAg,,名词 · 复数待核对: steage
741,瓶子,sticlă,饮食,,stIclă,,名词 · 复数: sticle
742,风格,stil,艺术,,stIl,,名词 · 复数待核对: stile
743,外国人,străin,人际,,strĂIn,,名词 · 复数待核对: străine
744,成功,succes,学习,,sUcces,,名词 · 复数待核对: succese
745,灵魂,suflet,情感,,sUflet,,名词 · 复数待核对: suflete
746,金额,sumă,金融,,sUmă,,名词 · 复数: sume
747,表面,suprafață,学习,,suprafAță,,名词 · 复数: suprafațe
748,惊喜,surpriză,情感,,surprIză,,名词 · 复数: surprize
749,画作,tablou,艺术,,tAblou,,名词 · 复数待核对: tablouri
750,沉默,tăcere,人际,,tăcEre,,名词 · 复数待核对: tăceri
751,费用,taxă,金融,,tAxă,,名词 · 复数: taxe
752,技术,tehnologie,科技,,tehnolOgie,,名词 · 复数待核对: tehnologii
753,作业,temă,教育,,tEmă,,名词 · 复数: teme
754,时间,timp,时间,,tImp,,副词 · 不变
755,青春,tinerețe,人际,,tinerEțe,,名词 · 复数待核对: tinereți
756,厕所,toaletă,城市,,toalEtă,,名词 · 复数: toalete
757,蛋糕,tort,饮食,,tOrt,,名词 · 复数待核对: torte
758,传统,tradiție,文化,,tradIție,,名词 · 复数: tradiții
759,交通,trafic,交通,,trafIc,,名词 · 复数待核对: trafice
760,悲伤,tristețe,情感,,tristEțe,,名词 · 复数待核对: tristeți
761,游览,tur,旅行,,tUr,,名词 · 复数待核对: ture
762,惊讶,uimire,情感,,uimIre,,名词 · 复数待核对: uimiri
763,肩膀,umăr,身体,,Umăr,,名词 · 复数待核对: umăre
764,单位,unitate,学习,,unitAte,,名词 · 复数: unități
765,上车,urcare,交通,,urcAre,,名词 · 复数待核对: urcari
766,用户,utilizator,科技,,utilizAtor,,名词 · 复数待核对: utilizatoare
767,假期,vacanță,旅行,,vacAnță,,名词 · 复数: vacanțe
768,价值,valoare,金融,,valOAre,,名词 · 复数待核对: valoari
769,售货员,vânzător,购物,,vânzĂtor,,名词 · 复数待核对: vânzătoare
770,版本,variantă,学习,,varIAntă,,名词 · 复数: variante
771,附近,vecinătate,城市,,vecinătAte,,名词 · 复数: vecinătăți
772,视力,vedere,健康,,vedEre,,名词 · 复数待核对: vederi
773,检查,verificare,职场,,verificAre,,名词 · 复数待核对: verificari
774,生活,viață,日常,,vIAță,,名词 · 复数: viațe
775,胜利,victorie,运动,,victOrie,,名词 · 复数待核对: victorii
776,星期五,vineri,时间,,vinEri,,副词 · 不变
777,速度,viteză,交通,,vitEză,,名词 · 复数: viteze
778,声音,voce,人际,,vOce,,名词 · 复数待核对: voci
779,投票,vot,社会,,vOt,,名词 · 复数待核对: vote
780,噪音,zgomot,城市,,zgOmot,,名词 · 复数待核对: zgomote
781,区域,zonă,城市,,zOnă,,名词 · 复数: zone
782,能力,abilitate,学习,,abilitAte,,名词 · 复数: abilități
783,订阅,abonament,商业,,abonAment,,名词 · 复数: abonamente
784,缺席,absență,教育,,absEnță,,名词 · 复数: absențe
785,滥用,abuz,社会,,Abuz,,名词 · 复数待核对: abuze
786,口音,accent,学习,,accEnt,,名词 · 复数待核对: accente
787,接受,acceptare,人际,,acceptAre,,名词 · 复数待核对: acceptari
788,屋顶,acoperiș,家居,,acopEriș,,名词 · 复数待核对: acoperișe
789,行动,acțiune,社会,,acțIUne,,名词 · 复数: acțiuni
790,真相,adevăr,人际,,adEvăr,,名词 · 复数待核对: adevăre
791,行政,administrație,社会,,administrAție,,名词 · 复数: administrații
792,青少年,adolescent,人际,,adolescEnt,,名词 · 复数待核对: adolescente
793,集合,adunare,社会,,adunAre,,名词 · 复数待核对: adunari
794,肯定,afirmare,人际,,afirmAre,,名词 · 复数待核对: afirmari
795,代理人,agent,职场,,agEnt,,名词 · 复数待核对: agente
796,骚动,agitație,情感,,agitAție,,名词 · 复数: agitații
797,农业,agricultură,自然,,agricultUră,,名词 · 复数: agriculture
798,小路,alee,城市,,Alee,,名词 · 复数待核对: alei
799,大使,ambasador,社会,,ambasadOr,,名词 · 复数待核对: ambasadore
800,大使馆,ambasada,城市,,ambasAda,,名词 · 复数待核对: ambasadai
801,布置,amenajare,家居,,amenajAre,,名词 · 复数待核对: amenajari
802,罚款,amendă,社会,,amEndă,,名词 · 复数: amende
803,中午,amiază,时间,,amIAză,,副词 · 不变
804,指纹,amprentă,社会,,amprEntă,,名词 · 复数: amprente
805,训练,antrenament,运动,,antrenAment,,名词 · 复数: antrenamente
806,通知,anunț,社会,,Anunț,,名词 · 复数待核对: anunțe
807,设备,aparat,科技,,apArat,,名词 · 复数待核对: aparate
808,防御,apărare,社会,,apărAre,,名词 · 复数待核对: apărari
809,批准,aprobare,职场,,aprobAre,,名词 · 复数待核对: aprobari
810,建筑师,arhitect,职场,,arhItect,,名词 · 复数待核对: arhitecte
811,翅膀,aripă,自然,,arIpă,,名词 · 复数: aripe
812,档案,arhivă,职场,,arhIvă,,名词 · 复数: arhive
813,文章,articol,学习,,artIcol,,名词 · 复数待核对: articole
814,保险,asigurare,金融,,asigurAre,,名词 · 复数待核对: asigurari
815,协会,asociație,社会,,asocIAție,,名词 · 复数: asociații
816,态度,atitudine,人际,,atitudIne,,名词 · 复数待核对: atitudini
