Words missing example sentence (example_ro is empty)
Batch: 3
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
1044|4539|尼安德特人|neanderthalian|neanderthalIAn|s.m.: neanderthalieni|History||
1045|4540|智人|Homo sapiens|hOmo sApiEns|s.m.: (fără plural)|History||
1046|4541|美索不达米亚|Mesopotamia|MesopotamIa|s.f.: (fără plural)|History||
1047|4542|古埃及|Egiptul Antic|EgIptul antIc|s.n.: (fără plural)|History||
1048|4543|古希腊|Grecia Antică|GrEcia Antică|s.f.: (fără plural)|History||
1049|4544|罗马共和国|Republica Romană|repUblica romAnă|s.f.: (fără plural)|History||
1050|4545|罗马帝国|Imperiul Roman|impEriul romAn|s.n.: (fără plural)|History||
1051|4546|丝绸之路|Drumul Mătăsii|drUmul mătăsII|s.n.: (fără plural)|History||
1052|4547|黑死病|Ciuma Neagră|ciUma neAgră|s.f.: (fără plural)|History||
1053|4548|宗教裁判所|Inchiziție|InchizIție|s.f.: inchiziții|History||
1054|4549|大宪章|Magna Carta|mAgna cArta|s.f.: (fără plural)|History||
1055|4550|百年战争|Războiul de O Sută de Ani|răzbOiul de o sUtă de Ani|s.n.: (fără plural)|History||
1056|4551|奥斯曼帝国衰落|declinul Imperiului Otoman|declInul impEriului otomAn|s.n.: (fără plural)|History||
1057|4552|美国独立战争|Războiul de Independență American|răzbOiul de independEnță americAn|s.n.: (fără plural)|History||
1058|4553|美国南北战争|Războiul Civil American|răzbOiul civIl americAn|s.n.: (fără plural)|History||
1059|4554|俄国革命|Revoluția Rusă|revolUția rUsă|s.f.: (fără plural)|History||
1060|4555|大萧条|Marea Criză Economică|mArea crIză economică|s.f.: (fără plural)|History||
1061|4556|广岛原爆|bombardamentul atomic de la Hiroshima|bombardamEntul atomIc de la HiroshIma|s.n.: (fără plural)|History||
1062|4557|联合国成立|înființarea ONU|înființArea O-N-U|s.f.: (fără plural)|History||
1063|4558|柏林墙倒塌|căderea Zidului Berlinului|cădErea zIdului berlinUlui|s.f.: (fără plural)|History||
1064|4559|苏联解体|destrămarea URSS|destrămArea U-R-S-S|s.f.: (fără plural)|History||
1065|4560|欧盟成立|crearea Uniunii Europene|creArea UniUnii europEne|s.f.: (fără plural)|History||
1066|4561|南非种族隔离|apartheid|apArtheid|s.n.: (fără plural)|History||
1067|4562|文化大革命|Revoluția Culturală Chineză|revolUția culturAlă chinEză|s.f.: (fără plural)|History||
1068|4563|越南战争|Războiul din Vietnam|răzbOiul din VietNam|s.n.: (fără plural)|History||
1069|4564|朝鲜战争|Războiul din Coreea|răzbOiul din corEea|s.n.: (fără plural)|History||
1070|4565|海湾战争|Războiul din Golf|răzbOiul din gOlf|s.n.: (fără plural)|History||
1071|4566|9/11事件|atacurile din 11 septembrie|atacUrile din 11 septembrIe|s.n.pl.: (fără plural)|History||
1072|4567|阿拉伯之春|Primăvara Arabă|primăvAra arAbă|s.f.: (fără plural)|History||
1073|4568|移民危机|criză migraționistă|crIză migraționIstă|s.f.: crize migraționiste|History||
1074|4569|民权运动|mișcare pentru drepturile civile|mișcAre pentru drEpturile civIle|s.f.: mișcări pentru drepturile civile|History||
1075|4570|女权运动|mișcare feministă|mișcAre feministă|s.f.: mișcări feministe|History||
1076|4571|环保运动|mișcare ecologistă|mișcAre ecologIstă|s.f.: mișcări ecologiste|History||
1077|4572|后真相时代|era post-adevăr|Era pOst-adevăR|s.f.: (fără plural)|History||
1078|4573|大爆炸|Big Bang|bIg bAng|s.n.: (fără plural)|Science||
1079|4574|宇宙膨胀|expansiunea universului|expansiUnea universUlui|s.f.: (fără plural)|Science||
1080|4575|宇宙微波背景辐射|radiație de fond cosmică|radiAție de fOnd cosmică|s.f.: (fără plural)|Science||
1081|4576|多重宇宙|multivers|multivErs|s.n.: multiversuri|Science||
1082|4577|时空|spațiu-timp|spAțiu-tImp|s.n.: (fără plural)|Science||
1083|4578|相对论|teoria relativității|teorIa relativItății|s.f.: (fără plural)|Science||
1084|4579|量子力学|mecanică cuantică|mecAnică cuAntică|s.f.: (fără plural)|Science||
1085|4580|量子纠缠|entanglement cuantic|entanglement cuAntic|s.n.: (fără plural)|Science||
1086|4581|薛定谔的猫|pisica lui Schrödinger|pisIca lui schrödInger|s.f.: (fără plural)|Science||
1087|4582|海森堡不确定性原理|principiul incertitudinii Heisenberg|princIpiul incertitudInii hEisenberg|s.n.: (fără plural)|Science||
1088|4583|标准模型|modelul standard|modElul stAndard|s.n.: (fără plural)|Science||
1089|4584|希格斯玻色子|bosonul Higgs|bosonUl hIggs|s.m.: (fără plural)|Science||
1090|4585|夸克|quark|quArk|s.m.: quarkuri|Science||
1091|4586|轻子|lepton|lEpton|s.m.: leptoni|Science||
1092|4587|玻色子|boson|bosOn|s.m.: bosoni|Science||
1093|4588|费米子|fermion|fermiOn|s.m.: fermioni|Science||
1094|4589|反物质|antimaterie|antimatErie|s.f.: (fără plural)|Science||
1095|4590|暗物质探测|detectarea materiei întunecate|detectArea matEriei întunecAte|s.f.: (fără plural)|Science||
1096|4591|引力波|undă gravitațională|Undă gravitaționAlă|s.f.: unde gravitaționale|Science||
1097|4592|中子星|stea neutronică|stEa neutronică|s.f.: stele neutronice|Science||
1098|4593|脉冲星|pulsar|pulsAr|s.m.: pulsari|Science||
1099|4594|超新星|supernovă|superNovă|s.f.: supernove|Science||
1100|4595|系外行星|exoplanetă|exoplanetă|s.f.: exoplanete|Science||
1101|4596|宜居带|zonă de habitabilitate|zOnă de habitabilitAte|s.f.: zone de habitabilitate|Science||
1102|4597|费米悖论|paradoxul lui Fermi|paradOxul lui fErmi|s.n.: (fără plural)|Science||
1103|4598|德雷克方程|ecuația lui Drake|ecuAția lui drAke|s.f.: (fără plural)|Science||
1104|4599|卡尔达舍夫尺度|scara Kardashev|scAra kardAshev|s.f.: (fără plural)|Science||
1105|4600|熵|entropie|entropIe|s.f.: entropii|Science||
1106|4601|热力学第二定律|a doua lege a termodinamicii|a dOua lEge a termodinAmicii|s.f.: (fără plural)|Science||
1107|4602|混沌理论|teoria haosului|teorIa haOsului|s.f.: (fără plural)|Science||
1108|4603|分形|fractal|fractAl|s.m.: fractali|Science||
1109|4604|复杂性理论|teoria complexității|teorIa complexItății|s.f.: (fără plural)|Science||
1110|4605|涌现现象|fenomen emergent|fenomEn emergEnt|s.n.: fenomene emergente|Science||
1111|4606|协同效应|sinergie|sinergIe|s.f.: sinergii|Science||
1112|4607|还原论|reducționism|reducționIsm|s.n.: (fără plural)|Science||
1113|4608|整体论|holism|holIsm|s.n.: (fără plural)|Science||
1114|4609|生物工程|inginerie biologică|inginerIe biologică|s.f.: (fără plural)|Engineering||
1115|4610|化学工程|inginerie chimică|inginerIe chimică|s.f.: (fără plural)|Engineering||
1116|4611|材料工程|inginerie a materialelor|inginerIe a materiAlelor|s.f.: (fără plural)|Engineering||
1117|4612|核工程|inginerie nucleară|inginerIe nucleAră|s.f.: (fără plural)|Engineering||
1118|4613|海洋工程|inginerie marină|inginerIe marInă|s.f.: (fără plural)|Engineering||
1119|4614|采矿工程|inginerie minieră|inginerIe miniEră|s.f.: (fără plural)|Engineering||
1120|4615|地质工程|inginerie geotehnică|inginerIe geotehnică|s.f.: (fără plural)|Engineering||
1121|4616|环境工程|inginerie de mediu|inginerIe de mEdiu|s.f.: (fără plural)|Engineering||
1122|4617|食品工程|inginerie alimentară|inginerIe alimentAră|s.f.: (fără plural)|Engineering||
1123|4618|纺织工程|inginerie textilă|inginerIe textIlă|s.f.: (fără plural)|Engineering||
1124|4619|精密工程|inginerie de precizie|inginerIe de preciZIe|s.f.: (fără plural)|Engineering||
1125|4620|控制工程|inginerie de control|inginerIe de contrOl|s.f.: (fără plural)|Engineering||
1126|4621|仪器仪表|instrumentație|instrumentAție|s.f.: instrumentații|Engineering||
1127|4622|测量学|metrologie|metrologIe|s.f.: (fără plural)|Engineering||
1128|4623|质量控制|control al calității|contrOl al calItății|s.n.: controale ale calității|Engineering||
1129|4624|可靠性工程|inginerie a fiabilității|inginerIe a fiabilitAtii|s.f.: (fără plural)|Engineering||
1130|4625|可持续工程|inginerie durabilă|inginerIe durAbilă|s.f.: (fără plural)|Engineering||
1131|4626|逆向工程|inginerie inversă|inginerIe inversă|s.f.: (fără plural)|Engineering||
1132|4627|快速原型|prototipare rapidă|prototipAre rapidă|s.f.: prototipări rapide|Engineering||
1133|4628|计算机辅助设计|proiectare asistată de calculator|proiectAre asistAtă de calculatOr|s.f.: proiectări asistate de calculator|Engineering||
1134|4629|有限元分析|analiză cu elemente finite|analIză cu elemEnte finIte|s.f.: analize cu elemente finite|Engineering||
1135|4630|计算流体动力学|dinamică computațională a fluidelor|dinAmică computaționAlă a flUidelor|s.f.: (fără plural)|Engineering||
1136|4631|机器学习|învățare automată|învățAre automAtă|s.f.: (fără plural)|Engineering||
1137|4632|深度学习|învățare profundă|învățAre profUndă|s.f.: (fără plural)|Engineering||
1138|4633|神经网络|rețea neuronală|rețeA neuronAlă|s.f.: rețele neuronale|Engineering||
1139|4634|计算机视觉|vedere artificială|vedEre artificIAlă|s.f.: (fără plural)|Engineering||
1140|4635|自然语言处理|procesare a limbajului natural|procesAre a limbajUlui naturAl|s.f.: (fără plural)|Engineering||
1141|4636|计算机图形学|grafică pe calculator|grafică pe calculatOr|s.f.: (fără plural)|Engineering||
1142|4637|虚拟仿真|simulare virtuală|simulAre virtuAlă|s.f.: simulări virtuale|Engineering||
1143|4638|数字孪生|geamăn digital|geAmăn digitAl|s.n.: gemeni digitali|Engineering||
1144|4639|物联网|internet al lucrurilor|internEt al lucrUrilor|s.n.: (fără plural)|Engineering||
1145|4640|边缘计算|calcul la margine|cAlcul la mArgine|s.n.: (fără plural)|Engineering||
1146|4641|量子计算|calcul cuantic|cAlcul cuAntic|s.n.: (fără plural)|Engineering||
1147|4642|生物识别|biometrie|biometrIe|s.f.: biometrii|Engineering||
1148|4643|自动驾驶|conducere autonomă|conducEre autonomă|s.f.: (fără plural)|Engineering||
1149|4644|基因改造食品|aliment modificat genetic|alimEnt modificAt genEtic|s.n.: alimente modificate genetic|Agriculture||
1150|4645|垂直农业|agricultură verticală|agricultUră verticAlă|s.f.: (fără plural)|Agriculture||
1151|4646|城市农业|agricultură urbană|agricultUră urbAnă|s.f.: (fără plural)|Agriculture||
1152|4647|水培农业|hidroponie|hidroponIe|s.f.: (fără plural)|Agriculture||
1153|4648|气培农业|aeroponie|aeroponIe|s.f.: (fără plural)|Agriculture||
1154|4649|鱼菜共生|acvaponie|acvaponIe|s.f.: (fără plural)|Agriculture||
1155|4650|蘑菇种植|cultivarea ciupercilor|cultivArea ciupercIlor|s.f.: (fără plural)|Agriculture||
1156|4651|蚕桑养殖|sericultură|sericulTUră|s.f.: (fără plural)|Agriculture||
1157|4652|花卉种植|floricultură|floriculTUră|s.f.: (fără plural)|Agriculture||
1158|4653|蔬菜种植|legumicultură|legumiculTUră|s.f.: (fără plural)|Agriculture||
1159|4654|果树种植|pomicultură|pomiculTUră|s.f.: (fără plural)|Agriculture||
1160|4655|葡萄种植|viticultură|viticulTUră|s.f.: (fără plural)|Agriculture||
1161|4656|酿酒|vinificație|vinificAție|s.f.: vinificații|Agriculture||
1162|4657|橄榄种植|olivicultură|oliviculTUră|s.f.: (fără plural)|Agriculture||
1163|4658|茶叶种植|cultura ceaiului|cultUra cEaiului|s.f.: (fără plural)|Agriculture||
1164|4659|咖啡种植|cultura cafelei|cultUra cafElei|s.f.: (fără plural)|Agriculture||
1165|4660|可可种植|cultura cacaoi|cultUra cacAoi|s.f.: (fără plural)|Agriculture||
1166|4661|橡胶种植|cultura cauciucului|cultUra cauciUcului|s.f.: (fără plural)|Agriculture||
1167|4662|棉花种植|cultura bumbacului|cultUra bumbAcului|s.f.: (fără plural)|Agriculture||
1168|4663|甘蔗种植|cultura trestiei de zahăr|cultUra trestIei de zAhăr|s.f.: (fără plural)|Agriculture||
1169|4664|堆肥|compostare|compostAre|s.f.: compostări|Agriculture||
1170|4665|生物防治|control biologic|contrOl biologIc|s.n.: controale biologice|Agriculture||
1171|4666|间作|cultură intercalată|cultUră intercalAtă|s.f.: culturi intercalate|Agriculture||
1172|4667|混作|cultură mixtă|cultUră mIxtă|s.f.: culturi mixte|Agriculture||
1173|4668|免耕农业|agricultură fără arătură|agriculTUră fără arătUră|s.f.: (fără plural)|Agriculture||
1174|4669|生物炭|biochar|biochAr|s.n.: (fără plural)|Agriculture||
1175|4670|土壤微生物|microbiom al solului|microbiOm al sOlului|s.n.: microbiomuri ale solului|Agriculture||
1176|4671|农业碳汇|sechestrare a carbonului în agricultură|sechestrAre a carbonUlui în agriculTUră|s.f.: (fără plural)|Agriculture||
1177|4672|精准灌溉|irigare de precizie|irigAre de preciZIe|s.f.: irigări de precizie|Agriculture||
1178|4673|智慧农业|agricultură inteligentă|agricultUră inteligEntă|s.f.: (fără plural)|Agriculture||
1179|4674|农业无人机|dronă agricolă|drOnă agrIcolă|s.f.: drone agricole|Agriculture||
1180|4675|卫星遥感农业|teledetecție agricolă|teledetEcție agrIcolă|s.f.: (fără plural)|Agriculture||
1181|4676|农业大数据|date masive în agricultură|dAte masIve în agricultUră|s.f.pl.: (fără plural)|Agriculture||
1182|4677|食品追溯|trasabilitate alimentară|trasabilitAte alimentAră|s.f.: (fără plural)|Agriculture||
1183|4678|农业区块链|blockchain în agricultură|blockchain în agricultUră|s.n.: (fără plural)|Agriculture||
1184|4679|纳米医学|nanomedicină|nanomedIcInă|s.f.: (fără plural)|Medicine||
1185|4680|数字健康|sănătate digitală|sănătAte digitAlă|s.f.: (fără plural)|Medicine||
1186|4681|可穿戴设备|dispozitiv purtabil|dispozitIv purtAbIl|s.n.: dispozitive purtabile|Medicine||
1187|4682|电子病历|dosar electronic de sănătate|dosAr electronIc de sănătAte|s.n.: dosare electronice de sănătate|Medicine||
1188|4683|人工智能诊断|diagnostic asistat de inteligență artificială|diagnOstic asistAt de inteligEnță artificIAlă|s.n.: diagnostice asistate|Medicine||
1189|4684|机器人手术|chirurgie robotică|chirurgIe robOtică|s.f.: chirurgii robotice|Medicine||
1190|4685|基因编辑|editare genică|editAre gEnică|s.f.: editări genice|Medicine||
1191|4686|CRISPR技术|tehnologie CRISPR|tehnologIe CrIsPR|s.f.: (fără plural)|Medicine||
1192|4687|蛋白质组学|proteomică|proteomIcă|s.f.: (fără plural)|Medicine||
1193|4688|基因组学|genomică|genomIcă|s.f.: (fără plural)|Medicine||
1194|4689|代谢组学|metabolomică|metabolomIcă|s.f.: (fără plural)|Medicine||
1195|4690|转录组学|transcriptomică|transcriptomIcă|s.f.: (fără plural)|Medicine||
1196|4691|表观遗传学|epigenetică|epigenEtică|s.f.: (fără plural)|Medicine||
1197|4692|微生物组|microbiom|microbiOm|s.n.: microbiomuri|Medicine||
1198|4693|个性化医疗|medicină personalizată|medicInă personalizAtă|s.f.: (fără plural)|Medicine||
1199|4694|循证医学|medicină bazată pe dovezi|medicInă bazAtă pe dovEzi|s.f.: (fără plural)|Medicine||
1200|4695|系统生物学|biologie sistemică|biologIe sistemică|s.f.: (fără plural)|Medicine||
1201|4696|合成生物学|biologie sintetică|biologIe sintetică|s.f.: (fără plural)|Medicine||
1202|4697|生物印刷|bioimprimare|bioimprImAre|s.f.: bioimprimări|Medicine||
1203|4698|人造器官|organ artificial|orgAn artificIAl|s.n.: organe artificiale|Medicine||
1204|4699|神经假体|proteză neurală|protEză neurAlă|s.f.: proteze neurale|Medicine||
1205|4700|脑机接口|interfață creier-calculator|interfAță crEier-calculatOr|s.f.: interfețe creier-calculator|Medicine||
1206|4701|外骨骼|exoschelet|exoskelEt|s.n.: exoschelete|Medicine||
1207|4702|冷冻疗法|crioterapie|crioterapIe|s.f.: crioterapii|Medicine||
1208|4703|光疗法|fototerapie|fototerapIe|s.f.: fototerapii|Medicine||
1209|4704|基因筛查|screening genetic|scrEening genEtic|s.n.: screeninguri genetice|Medicine||
1210|4705|新生儿筛查|screening neonatal|scrEening neonatal|s.n.: screeninguri neonatale|Medicine||
1211|4706|产前诊断|diagnostic prenatal|diagnOstic prenatAl|s.n.: diagnostice prenatale|Medicine||
1212|4707|临终关怀|îngrijire la sfârșitul vieții|îngrijIre la sfÂrșitul vIeții|s.f.: (fără plural)|Medicine||
1213|4708|医疗保健系统|sistem de sănătate|sistEm de sănătAte|s.n.: sisteme de sănătate|Medicine||
1214|4709|全民健康覆盖|acoperire universală de sănătate|acoperIre universAlă de sănătAte|s.f.: (fără plural)|Medicine||
1215|4710|卫生经济学|economie a sănătății|economIe a sănătății|s.f.: (fără plural)|Medicine||
1216|4711|健康决定因素|determinant al sănătății|determinAnt al sănătății|s.m.: determinanți ai sănătății|Medicine||
1217|4712|健康差距|inechitate în sănătate|inechitAte în sănătAte|s.f.: inechități în sănătate|Medicine||
1218|4713|全球卫生|sănătate globală|sănătAte globAlă|s.f.: (fără plural)|Medicine||
1219|4714|混合战争|război hibrid|răzbOi hIbrid|s.n.: (fără plural)|Military Science||
1220|4715|不对称战争|război asimetric|răzbOi asimetrIc|s.n.: (fără plural)|Military Science||
1221|4716|代理人战争|război prin procură|răzbOi prIn procUră|s.n.: (fără plural)|Military Science||
1222|4717|太空战争|război spațial|răzbOi spațiAl|s.n.: (fără plural)|Military Science||
1223|4718|无人机战争|război cu drone|răzbOi cu drOne|s.n.: (fără plural)|Military Science||
1224|4719|人工智能战争|război cu inteligență artificială|răzbOi cu inteligEnță artificIAlă|s.n.: (fără plural)|Military Science||
1225|4720|量子密码学|criptografie cuantică|criptografIe cuAntică|s.f.: (fără plural)|Military Science||
1226|4721|电子战|război electronic|răzbOi electronIc|s.n.: (fără plural)|Military Science||
1227|4722|太空防御|apărare spațială|apărAre spațiAlă|s.f.: (fără plural)|Military Science||
1228|4723|导弹防御|apărare antirachetă|apărAre antirachEtă|s.f.: (fără plural)|Military Science||
1229|4724|核威慑|descurajare nucleară|descurajAre nucleAră|s.f.: (fără plural)|Military Science||
1230|4725|军备控制|control al armamentelor|contrOl al armamentElor|s.n.: (fără plural)|Military Science||
1231|4726|裁军|dezarmare|dezarmAre|s.f.: (fără plural)|Military Science||
1232|4727|不扩散条约|tratat de neproliferare|tratAt de neproliferAre|s.n.: tratate de neproliferare|Military Science||
1233|4728|军事改革|reformă militară|refOrmă militAră|s.f.: reforme militare|Military Science||
1234|4729|民军关系|relații civili-militari|relAții civIli-militAri|s.f.pl.: relații civili-militari|Military Science||
1235|4730|维和行动|operațiune de menținere a păcii|operațiUne de mențInere a păcII|s.f.: operațiuni de menținere a păcii|Military Science||
1236|4731|人道主义干预|intervenție umanitară|intervEnție umanitAră|s.f.: intervenții umanitare|Military Science||
1237|4732|冲突预防|prevenire a conflictelor|prevenIre a conflIctelor|s.f.: preveniri ale conflictelor|Military Science||
1238|4733|冲突解决|soluționare a conflictelor|soluționAre a conflIctelor|s.f.: soluționări ale conflictelor|Military Science||
1239|4734|战后重建|reconstrucție postconflict|reconstrucție postconflIct|s.f.: reconstrucții postconflict|Military Science||
1240|4735|军事伦理|etică militară|Etică militAră|s.f.: etici militare|Military Science||
1241|4736|战争法则|legile războiului|lEgile răzbOiului|s.f.pl.: legile războiului|Military Science||
1242|4737|军事技术|tehnologie militară|tehnologIe militAră|s.f.: tehnologii militare|Military Science||
1243|4738|超音速武器|armament hipersonic|armamEnt hipersonIc|s.n.: armamente hipersonice|Military Science||
1244|4739|敏捷管理|management agil|managemEnt agIl|s.n.: (fără plural)|Management||
1245|4740|精益管理|management lean|managemEnt lEan|s.n.: (fără plural)|Management||
1246|4741|六西格玛|Six Sigma|sIx sIgma|s.n.: (fără plural)|Management||
1247|4742|全面质量管理|management total al calității|managemEnt totAl al calItății|s.n.: (fără plural)|Management||
1248|4743|平衡计分卡|tablou de bord echilibrat|tablOu de bOrd echilibrAt|s.n.: tablouri de bord echilibrate|Management||
1249|4744|OKR目标管理|obiective și rezultate cheie|obiectIve și rezultAte chEie|s.n.pl.: (fără plural)|Management||
1250|4745|关键绩效指标|indicator cheie de performanță|indicatOr chEie de performAnță|s.m.: indicatori cheie de performanță|Management||
1251|4746|商业智能|business intelligence|bUsiness IntEligEnt|s.n.: (fără plural)|Management||
1252|4747|数据驱动决策|decizie bazată pe date|decIzie bazAtă pe dAte|s.f.: decizii bazate pe date|Management||
1253|4748|变革理论|teoria schimbării|teorIa schimbĂrii|s.f.: teorii ale schimbării|Management||
1254|4749|组织学习|învățare organizațională|învățAre organizaționAlă|s.f.: (fără plural)|Management||
1255|4750|知识分享|partajare a cunoașterii|partajAre a cunoAșterii|s.f.: partajări ale cunoașterii|Management||
1256|4751|人才管理|managementul talentelor|managemEntul talEntelor|s.n.: (fără plural)|Management||
1257|4752|继任规划|planificare a succesiunii|planificAre a succesiUnii|s.f.: planificări ale succesiunii|Management||
1258|4753|员工敬业度|angajament al angajaților|angajamEnt al angajAților|s.n.: angajamente ale angajaților|Management||
1259|4754|工作场所幸福感|bunăstare la locul de muncă|bunăstAre la locUl de mUncă|s.f.: (fără plural)|Management||
1260|4755|远程工作|muncă la distanță|mUncă la distAnță|s.f.: (fără plural)|Management||
1261|4756|混合工作|muncă hibridă|mUncă hIbridă|s.f.: (fără plural)|Management||
1262|4757|数字化转型|transformare digitală|transformAre digitAlă|s.f.: transformări digitale|Management||
1263|4758|创新管理|managementul inovației|managemEntul inovAției|s.n.: (fără plural)|Management||
1264|4759|开放式创新|inovație deschisă|inovAție deschIsă|s.f.: inovații deschise|Management||
1265|4760|颠覆式创新|inovație disruptivă|inovAție disruptIvă|s.f.: inovații disruptive|Management||
1266|4761|持续改进|îmbunătățire continuă|îmbunătățIre contInuă|s.f.: îmbunătățiri continue|Management||
1267|4762|流程再造|reinginerie a proceselor|reinginerIe a procesElor|s.f.: reinginierii ale proceselor|Management||
1268|4763|企业资源规划|planificare a resurselor întreprinderii|planificAre a resUrselor întreprindErii|s.f.: (fără plural)|Management||
1269|4764|文艺复兴艺术|artă renascentistă|Artă renascentIstă|s.f.: arte renascentiste|Art||
1270|4765|巴洛克艺术|artă barocă|Artă barocă|s.f.: arte baroce|Art||
1271|4766|洛可可艺术|artă rococó|Artă rococO|s.f.: arte rococó|Art||
1272|4767|新古典主义|neoclasicism|neoclasicIsm|s.n.: (fără plural)|Art||
1273|4768|浪漫主义艺术|artă romantică|Artă romAntică|s.f.: arte romantice|Art||
1274|4769|写实主义艺术|artă realistă|Artă realistă|s.f.: arte realiste|Art||
1275|4771|后印象派|postimpresionism|postimpresionIsm|s.n.: (fără plural)|Art||
1276|4772|点彩派|pointilism|pointilIsm|s.n.: (fără plural)|Art||
1277|4773|分离派|secesionism|secesionIsm|s.n.: (fără plural)|Art||
1278|4774|未来主义|futurism|futurIsm|s.n.: (fără plural)|Art||
1279|4775|构成主义|constructivism|constructivIsm|s.n.: (fără plural)|Art||
1280|4776|极简主义|minimalism|minimalIsm|s.n.: (fără plural)|Art||
1281|4777|概念艺术|artă conceptuală|Artă conceptuAlă|s.f.: arte conceptuale|Art||
1282|4778|地景艺术|land art|lAnd Art|s.n.: (fără plural)|Art||
1283|4779|街头艺术|artă stradală|Artă stradAlă|s.f.: arte stradale|Art||
1284|4780|涂鸦艺术|graffiti|graffIti|s.n.: (fără plural)|Art||
1285|4781|交互艺术|artă interactivă|Artă interactIvă|s.f.: arte interactive|Art||
1286|4782|生物艺术|bio-artă|bio-Artă|s.f.: bio-arte|Art||
1287|4783|AI艺术|artă generată de IA|Artă generAtă de I-A|s.f.: arte generate de IA|Art||
1288|4784|艺术真实性|autenticitate artistică|autenticitAte artistică|s.f.: autenticități artistice|Art||
1289|4785|艺术价值|valoare artistică|valOAre artistică|s.f.: valori artistice|Art||
1290|4786|艺术机构|instituție de artă|instituțIe de Artă|s.f.: instituții de artă|Art||
1291|4787|艺术拍卖|licitație de artă|licitAție de Artă|s.f.: licitații de artă|Art||
