Words missing example sentence (example_ro is empty)
Batch: 5
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
2235|6163|对不起|îmi pare rău|Îmi pAre rĂu|expr.: (invariabil)|Daily Life||
2236|6164|没关系|nu-i nimic|nu-i nimIc|expr.: (invariabil)|Daily Life||
2237|6165|请|vă rog|vă rOg|expr.: (invariabil)|Daily Life||
2238|6167|不|nu|nU|adverb|adverb||
2239|6168|也许|poate|pOate|adverb|adverb||
2240|6169|当然|bineînțeles|bineînțelEs|adverb|adverb||
2241|6170|明白了|am înțeles|Am înțelEs|expr.: (invariabil)|Daily Life||
2242|6171|我不明白|nu înțeleg|nu înțelEg|expr.: (invariabil)|Daily Life||
2243|6172|能再说一遍吗|puteți repeta|putEți repetA|expr.: (invariabil)|Daily Life||
2244|6173|说慢点|vorbiți mai încet|vorbIți mAi încEt|expr.: (invariabil)|Daily Life||
2245|6174|怎么说|cum se spune|cUm se spUne|expr.: (invariabil)|Daily Life||
2246|6175|用罗马尼亚语怎么说|cum se zice în română|cUm se zIce în romAnă|expr.: (invariabil)|Daily Life||
2247|6176|我不会说罗马尼亚语|nu vorbesc română|nu vorbEsc romAnă|expr.: (invariabil)|Daily Life||
2248|6177|你会说英语吗|vorbiți engleza|vorbIți englEza|expr.: (invariabil)|Daily Life||
2249|6178|我叫|mă numesc|mă numEsc|expr.: (invariabil)|Daily Life||
2250|6179|你叫什么名字|cum vă numiți|cUm vă numIți|expr.: (invariabil)|Daily Life||
2251|6180|我来自|vin din|vIn dIn|expr.: (invariabil)|Daily Life||
2252|6181|你来自哪里|de unde veniți|de Unde venIți|expr.: (invariabil)|Daily Life||
2253|6182|多大了|câți ani aveți|câți Ani avEți|expr.: (invariabil)|Daily Life||
2254|6183|我今年|am … ani|Am … Ani|expr.: (invariabil)|Daily Life||
2255|6184|很高兴认识你|încântat de cunoștință|încântAt de cunoștInță|= îmi pare bine|Daily Life||
2256|6185|住在哪里|unde locuiți|Unde locuIți|expr.: (invariabil)|Daily Life||
2257|6186|我住在|locuiesc în|locuIesc În|expr.: (invariabil)|Daily Life||
2258|6187|喜欢|a-i plăcea|a-i plăcEa|verb: conj. II (îmi place/îți place/îi place)|Daily Life||
2259|6188|不喜欢|a nu-i plăcea|a nu-i plăcEa|verb: conj. II (nu-mi place/nu-ți place/nu-i place)|Daily Life||
2260|6190|顶端的小突起|moț|mOț|s.n: moțuri / moațe|Daily Life||
2261|6191|汉字|Română|Accent|Informație gramaticală|Clasificare||
2262|6192|幸福|fericire|fericIre|s.f.: (fără plural)|Philosophy||
2263|6193|痛苦|suferință|suferInță|s.f.: suferințe|Philosophy||
2264|6194|希望|speranță|speRAnță|s.f.: speranțe|Philosophy||
2265|6195|恐惧|frică|frIcă|s.f.: frici|Philosophy||
2266|6197|耐心|răbdare|răbdAre|s.f.: (fără plural)|Philosophy||
2267|6198|诚实|onestitate|onestitAte|s.f.: (fără plural)|Philosophy||
2268|6199|谦逊|modestie|modEstIe|s.f.: (fără plural)|Philosophy||
2269|6200|骄傲|mândrie|mândrIe|s.f.: mândrii|Philosophy||
2270|6201|嫉妒|invidie|invIdIe|s.f.: invidii|Philosophy||
2271|6202|感激|recunoștință|recunoștInță|s.f.: (fără plural)|Philosophy||
2272|6203|宽恕|iertare|iertAre|s.f.: iertări|Philosophy||
2273|6205|信任|încredere|încredEre|s.f.: încrederi|Philosophy||
2274|6206|友谊|prietenie|priEtenIe|s.f.: prietenii|Philosophy||
2275|6207|职业|profesie|profesIe|s.f.: profesii|Economics||
2276|6208|工人|muncitor|muncitOr|s.m.: muncitori|Economics||
2277|6209|医生|medic|mEdic|s.m.: medici|Economics||
2278|6210|护士|asistentă medicală|asistEntă medicAlă|s.f.: asistente medicale|Economics||
2279|6211|老师|profesor|profEsor|s.m.: profesori|Economics||
2280|6212|工程师|inginer|ingInEr|s.m.: ingineri|Economics||
2281|6213|建筑师|arhitect|ArhitEct|s.m.: arhitecți|Economics||
2282|6215|会计师|contabil|contAbil|s.m.: contabili|Economics||
2283|6216|厨师|bucătar|bucătAr|s.m.: bucătari|Economics||
2284|6217|司机|șofer|șofEr|s.m.: șoferi|Economics||
2285|6218|农民|agricultor|agricultOr|s.m.: agricultori|Economics||
2286|6219|理发师|frizer|frizEr|s.m.: frizeri|Economics||
2287|6220|售货员|vânzător|vânzătOr|s.m.: vânzători|Economics||
2288|6221|消防员|pompier|pompiEr|s.m.: pompieri|Economics||
2289|6222|护照检查|control de pașapoarte|contrOl de pașapoArte|s.n.: controale de pașapoarte|Law||
2290|6223|海关|vamă|vAmă|s.f.: vămi|Law||
2291|6224|边境|frontieră|frontiEră|s.f.: frontiere|Law||
2292|6225|入境|intrare în țară|intrAre în țAră|s.f.: intrări în țară|Law||
2293|6226|出境|ieșire din țară|iEșire din țAră|s.f.: ieșiri din țară|Law||
2294|6227|申报|a declara|a declarA|verb: conj. I (declar/declari/declară)|Law||
2295|6228|禁止入境|interzicere a intrării|interzicEre a intrArii|s.f.: interziceri ale intrării|Law||
2296|6229|驱逐出境|expulzare|expulzAre|s.f.: expulzări|Law||
2297|6230|庇护申请|cerere de azil|cErere de azIl|s.f.: cereri de azil|Law||
2298|6231|工作许可|permis de muncă|permIs de mUncă|s.n.: permise de muncă|Law||
2299|6232|居留证|permis de rezidență|permIs de rezidEnță|s.n.: permise de rezidență|Law||
2300|6233|罚单|proces-verbal|procEs-verbAl|s.n.: procese-verbale|Law||
2301|6234|警告|avertisment|avertismEnt|s.n.: avertismente|Law||
2302|6236|假释|eliberare condiționată|eliberAre condiționAtă|s.f.: eliberări condiționate|Law||
2303|6237|字母表|alfabet|alfabEt|s.n.: alfabete|Education||
2304|6238|大写字母|literă mare|lIteră mAre|s.f.: litere mari|Education||
2305|6239|小写字母|literă mică|lIteră mIcă|s.f.: litere mici|Education||
2306|6240|数字|cifră|cIfră|s.f.: cifre|Education||
2307|6241|加法|adunare|adunAre|s.f.: adunări|Education||
2308|6242|减法|scădere|scădEre|s.f.: scăderi|Education||
2309|6243|乘法|înmulțire|înmulțIre|s.f.: înmulțiri|Education||
2310|6244|除法|împărțire|împărțIre|s.f.: împărțiri|Education||
2311|6245|等于|egal|egAl|adj: egală / egali / egale|Education||
2312|6246|加|plus|plUs|prep.: (invariabil)|Education||
2313|6247|减|minus|mInus|prep.: (invariabil)|Education||
2314|6248|乘以|înmulțit cu|înmulțIt cU|expr.: (invariabil)|Education||
2315|6249|除以|împărțit la|împărțIt lA|expr.: (invariabil)|Education||
2316|6250|百分比|procent|procEnt|s.n.: procente|Education||
2317|6251|分数|fracție|frAcție|s.f.: fracții|Education||
2318|6253|明喻|comparație|comparAție|s.f.: comparații|Literature||
2319|6255|夸张|exagerare|exagerAre|s.f.: exagerări|Literature||
2320|6256|重复|repetiție|repetIție|s.f.: repetiții|Literature||
2321|6257|押韵|rimă|rImă|s.f.: rime|Literature||
2322|6259|诗节|strofă|strOfă|s.f.: strofe|Literature||
2323|6260|诗行|vers|vErs|s.n.: versuri|Literature||
2324|6263|场景设定|cadru narativ|cAdru naratIv|s.n.: cadre narative|Literature||
2325|6264|冲突|conflict|conflIct|s.n.: conflicte|Literature||
2326|6266|解决方案|rezolvare|rezolvAre|s.f.: rezolvări|Literature||
2327|6268|中世纪|Evul Mediu|Evul mEdiu|s.n.: (fără plural)|History||
2328|6270|工业革命|Revoluție Industrială|revolUție industriAlă|s.f.: (fără plural)|History||
2329|6271|世界大战|Război Mondial|răzbOi mondiAl|s.n.: Războaie Mondiale|History||
2330|6272|独立战争|Război de Independență|răzbOi de independEnță|s.n.: Războaie de Independență|History||
2331|6273|殖民地时代|epoca colonială|Epoca colonIAlă|s.f.: (fără plural)|History||
2332|6274|革命领袖|lider revoluționar|lIder revoluționAr|s.m.: lideri revoluționari|History||
2333|6275|历史事件|eveniment istoric|evenimEnt istOric|s.n.: evenimente istorice|History||
2334|6276|历史文献|document istoric|documEnt istOric|s.n.: documente istorice|History||
2335|6277|考古发现|descoperire arheologică|descoperIre arheologică|s.f.: descoperiri arheologice|History||
2336|6280|古代文字|scriere antică|scriEre Antică|s.f.: scrieri antice|History||
2337|6281|考古挖掘|săpătură arheologică|săpătUră arheologică|s.f.: săpături arheologice|History||
2338|6282|固体|solid|sOlid|s.n.: solide|Science||
2339|6283|液体|lichid|lIchid|s.n.: lichide|Science||
2340|6285|融化|a se topi|a se topI|verb: conj. IV (mă topesc/te topești/se topește)|Science||
2341|6286|冻结|a îngheța|a înghețA|verb: conj. I (îngheț/îngheți/îngheață)|Science||
